Gene.symbol	ID	adj.P.Val	logFC
HAVCR2	8115464	6.94575199257579e-06	2.67119261111111
F2RL1	8106403	7.0852059300486e-06	-2.75399271505556
BMP6///BMP6	8116818	7.23848398082148e-06	-1.98988094905556
MDGA2	7978801	7.95422248215049e-06	-1.26529799905556
SLC16A2	8168424	8.0187011017309e-06	-1.52765116861111
MIR23A	8034698	8.23856718629456e-06	-2.89549173122222
SMO	8136080	8.62651751271633e-06	-1.40617448022222
CD96	8081564	8.62651751271633e-06	5.40090039433333
IL13RA1	8169580	8.65540625417249e-06	3.79848389738889
TMEM63A	7924636	9.41712688253363e-06	-1.13942555477778
GPR21	8157727	1.04758045176074e-05	-3.09015923466667
SGMS2	8096733	1.04758045176074e-05	2.31581951472222
ARG2	7975268	1.04758045176074e-05	-2.30269139277778
PDE3B	7938629	1.0570523658541e-05	3.03483725694445
TREM1	8126303	1.08423911615108e-05	3.94227688738889
ARMCX2	8174092	1.11772703924906e-05	-1.50707428522222
SHANK3	8074131	1.14095476455611e-05	-1.54914173394444
SERGEF	7946933	1.15719287438659e-05	-1.55922602894445
ATP6V1B2	8144931	1.19605353366461e-05	1.25807904888889
ARSB	8112807	1.20899977330319e-05	1.50635232777778
	8142343	1.21809761517163e-05	-2.22522258183333
TMEM104	8009693	1.26986102095417e-05	1.61074137816667
WDR17	8098379	1.26986102095417e-05	-2.43799666372222
CDADC1	7969096	1.29369453521539e-05	-1.67071134261111
HIST1H2BJ	8124484	1.29369453521539e-05	-2.36772580705555
TPD52L2	8064191	1.31260226592041e-05	1.45938330444445
SSPN	7954481	1.31331184728306e-05	-2.27199150316667
SRGAP2D///SRGAP2C///SRGAP2B///SRGAP2	7904469	1.33804404227242e-05	1.93852107083334
PXK	8080781	1.34915149725025e-05	1.75014154961111
GGT7	8065798	1.37250969328587e-05	-0.982222107277781
LOC102724238///LOC554249///GLIDR	8161451	1.39082712873527e-05	-1.22934292855556
RAPGEF3	7962625	1.42075622222717e-05	-1.15628972433333
CD33	8030804	1.45320991645375e-05	2.76342909844444
ACTG1	8019183	1.46569213097506e-05	0.857393391666665
	7895484	1.46927608362213e-05	1.66753962511111
EIF3J-AS1	7988283	1.58158780501801e-05	-1.52707727927778
TSPAN2	7918857	1.59558706385789e-05	-3.28671068655556
PAWR	7965112	1.59645129781337e-05	-3.12392757722222
LOC100129940	7964736	1.61609442311324e-05	-1.78699972788889
NEDD9	8123936	1.63712993094025e-05	2.22643796266667
KLHL3	8114300	1.64396683771576e-05	-1.680755546
CPD	8006123	1.64396683771576e-05	1.613452356
ITGAM	7995096	1.70336968383176e-05	3.01838330827778
FCER1G	7906720	1.78515675357866e-05	3.73918189561111
BAIAP3	7992219	1.79436881522963e-05	-1.43197157944444
UNC93B1	7949904	1.80610103122681e-05	1.80450802444444
SLC18A2	7930837	1.83363620767391e-05	-2.96111757938889
DMRTC1B///FAM226B///FAM226A///DMRTC1	8173583	2.0240932821936e-05	-1.20987295444444
CHRNA5	7985213	2.0240932821936e-05	-2.59953386122222
AKT3	7925531	2.18414476103872e-05	-3.48438311033333
PTPN18	8045182	2.191129904521e-05	2.14806553161111
MYO5C	7988876	2.24524924357957e-05	-2.24146817372222
TAPT1-AS1	8094251	2.25419382702808e-05	-1.59221243755555
	7895810	2.30282438752672e-05	-2.59531469377778
NT5DC3	7965918	2.30430921433433e-05	2.28589401133333
TMTC2	7957417	2.38518609155109e-05	2.155041363
SNX30	8157253	2.50090385413329e-05	1.63168191283333
SP140	8048898	2.50090385413329e-05	1.970577088
LAG3	7953418	2.52007699518387e-05	-1.2974006235
ROBO4	7952453	2.54567808545267e-05	-1.51598861416667
GPRASP1	8168968	2.59970317176796e-05	-1.68825946022222
IFI30	8026971	2.64134983084515e-05	3.04636958477778
CTSH	7990757	2.71728086814506e-05	3.02466021177778
ARHGAP19-SLIT1///ARHGAP19	7935403	2.71728086814506e-05	1.619234086
DPP9	8032871	2.76915957274031e-05	1.67753630655556
PRSS3P2///PRSS2///PRSS3P2///PRSS2	8136807	2.7824689930037e-05	-2.26258954705556
HMGN2	8000409	2.79653840289489e-05	1.33345322611111
MIRLET7C	8067944	2.83724104812241e-05	-0.778305240333333
SEPT5-GP1BB	8071274	2.9299376475729e-05	-2.3336607885
MED12L	8083360	3.03649356035066e-05	-2.89216043522222
RASSF9	7965226	3.0610309214762e-05	-1.44500066872222
NETO2	8001197	3.11101231820491e-05	3.87812040183334
LCP1	7971461	3.11431588253461e-05	1.08851804111111
SPAG5	8013671	3.35434820605981e-05	2.15802786205556
LYST	7925257	3.41814669138214e-05	2.164065035
IL17RA	8071069	3.47589602033267e-05	2.27797477283333
ARHGAP22	7933469	3.47589602033267e-05	-1.700199197
PLCB2	7987475	3.64608923866886e-05	1.36025346866666
GIPC2	7902518	3.64608923866886e-05	-2.0958105245
CACNB2	7926506	3.74165339888055e-05	-1.764932342
	8139083	3.79966190946121e-05	-2.19187522
GPR132	7981530	3.83010724306511e-05	1.94342437255556
LTBP4	8028872	3.94269960815971e-05	-1.10293657411111
BANF1	8180260	4.05921662682925e-05	1.48812055988888
ZNF106	7987892	4.13646279532099e-05	1.5946915765
FAM65C	8066985	4.13646279532099e-05	-1.7619729505
TPTEP1	8071063	4.22838837864527e-05	-2.57349238866667
PITPNM1	7949808	4.25477786716624e-05	1.35134574511111
SMARCA1	8174985	4.28113035877931e-05	-2.75265905927778
SV2A	7919645	4.30022745331457e-05	-1.81387533172222
SNHG16///SNORD1C///SNHG16	8010078	4.3162749011307e-05	-1.90756923833333
ACTB	8137979	4.48571309263225e-05	1.20680185722222
GUCY1B3	8097973	4.5317980088675e-05	-2.64904138705556
CYBB	8166730	4.53731000559289e-05	4.50798640572222
	7893609	4.53731000559289e-05	1.71587967972222
INPPL1	7942342	4.60527615319373e-05	1.00132000427778
NDUFA10	8060063	4.60661972055938e-05	-0.887545596055555
PBXIP1	7920575	4.61562904148839e-05	-1.93168316472222
CCL5	8014316	4.7982386117798e-05	2.9867176715
CECR1	8074237	4.95870379954677e-05	2.937215593
TRIB1	8148304	5.07076679036576e-05	2.6994676355
FANCD2	8077731	5.1172046227265e-05	1.76361529072222
NUP62CL	8174351	5.58821492357123e-05	-1.58139347911111
PINLYP	8029306	5.58821492357123e-05	-1.41340045111111
TPM2	8161044	5.6399880519034e-05	-1.61622302027778
	7893592	5.6399880519034e-05	1.14356719055555
C10orf12	7929609	5.80623837255948e-05	1.69994605338889
ANAPC15	7950128	5.80813333675109e-05	1.86802896488889
CLDN15	8141708	5.86093683174786e-05	-1.15833782211111
	7934717	6.12123002116678e-05	-1.79124846044444
STAB1	8080344	6.18178926419058e-05	2.46003234833333
PLAUR	8037374	6.3204379953825e-05	2.63837676227778
SYPL1	8142110	6.32182353850237e-05	-1.24755788772222
TARP	8180367	6.37322381181461e-05	4.39374550822222
DIAPH2	8168691	6.4114149766747e-05	1.48101882838889
MREG	8058824	6.4114149766747e-05	-2.27307081344444
	7896063	6.81535717837964e-05	1.81363929388889
FSTL1	8089835	6.88285927823679e-05	-2.46893344483333
SPINK2	8100523	6.93095040366203e-05	-3.25460634505556
KCTD20	8119067	6.98085776347918e-05	0.833920495500002
GPR173	8167758	7.28988165909528e-05	-1.15290416505556
FEZ2	8051427	7.31968174269402e-05	1.23002558783333
	7926539	7.3946464885929e-05	-1.76554035172222
	7892674	7.44999705504175e-05	1.6613739595
ELOVL7	8112274	7.57840823966734e-05	-3.31844801422222
CD180	8112428	7.59298406709443e-05	3.50724342788889
KPNA6	7899688	8.18730159359527e-05	1.33336443216667
DOT1L	8024391	8.378801464562e-05	1.15812435311111
IQGAP3	7921033	8.378801464562e-05	1.49376035766667
TP53INP1	8151890	8.38094167185622e-05	-1.48308771127778
CORO1A	7994769	8.59159459853261e-05	1.33554957505555
LOC400464	7986428	8.61543732015339e-05	-1.8256440165
NDRG1	8153002	8.62760241588068e-05	1.01341783105555
SCD	7929816	8.88467246843154e-05	-2.4003196505
PARP8	8105191	8.9952967993695e-05	2.19363706088889
ARF1	7910229	9.06900250352296e-05	0.982237952222222
ABO	8164853	9.07993504495247e-05	-1.958643252
C1orf132///MIR29C	7923974	9.29531457432226e-05	-2.48351618055556
TADA2B	8093993	9.31459694068113e-05	1.52605906516667
ZNF154	8039674	9.40707158005591e-05	-2.35200853355556
TAF5L	7924969	9.49742144527817e-05	1.02195218888889
ACTN1	7979824	0.00010070870116377	2.10897223472222
CD109	8120719	0.000101399493140962	-3.16836670755556
	7957673	0.000101435782935507	-1.12647406194444
PTPRD	8160040	0.000102070423923857	-1.51204840166667
KYNU	8045539	0.000105776404900939	3.60537783433333
DKFZP434L187	7982252	0.000105939471187962	-1.36768066461111
DPP3	7941621	0.000106499464937474	1.46012934122222
GATA3	7926105	0.000107026369701789	-1.50491306338889
CBL	7944493	0.000107026369701789	1.25418066955556
FAM72A///FAM72D///FAM72B	8039928	0.000107026369701789	2.46111586072222
ITGB7	7963614	0.000112075744326835	2.36818975588889
NPR3	8104746	0.000116292744212174	-2.93673127844445
EIF5AL1///EIF5A	7928630	0.000120476389903379	2.02313946516667
FAM129A	7922846	0.000122025685762545	1.93109744883333
BUB1B	7982663	0.000126905603432018	1.98501710927778
DCUN1D1	8092321	0.000127596822452967	2.20619516077778
SUCNR1	8083422	0.000131421425698137	2.51295153988889
COPE	8035553	0.000131421425698137	1.08636099555556
RASGRP3	8041422	0.000131421425698137	3.06218649238889
TCEAL9	8169022	0.000131432366320278	-1.52499229172222
LRRC70	8105579	0.000131993865141037	-2.70367413355555
ZBED8	8115600	0.000139478883364494	-1.13650897627778
ZNF286B///ZNF286A	8005110	0.00014165346295452	-1.71574562744445
ZNF687	7905382	0.00014392613482539	1.01371230877777
TRAK2	8058221	0.00014392613482539	2.20711022272222
BEX1	8174201	0.00014392613482539	-3.58901197238889
FAM21A///FAM21C	7927560	0.000144547728400102	0.886049311388891
	8084213	0.000145296451436031	-2.48748569061111
AZU1	8024038	0.000146005806156491	2.51060016705555
RAB31	8020110	0.000146091032911825	3.36429058322222
IGF1R	7986383	0.000148627446349144	-2.54862501816667
CFP	8172333	0.000151398133416156	1.88211710655555
PLPP6	8154151	0.00015160089671509	1.46949745044444
AAK1	8052803	0.000153321107917172	1.51462877177778
HIBADH	8138776	0.000153769415048884	-1.21818041688889
ANXA2R	8111925	0.000154423087828269	-2.02989052505555
WDR49	8091922	0.000154890331288782	-2.34134118194445
	8014142	0.000154978697955153	-1.59838860894444
ADRB2	8109086	0.000156802877268199	1.59447511888889
MS4A6A	7948455	0.000165466546701735	3.70557192588889
VIP	8122865	0.000165920260725711	-0.881381238166667
LILRA2	8031207	0.000167084269918654	2.34488984922222
ZNF521	8022612	0.000168187461218	-3.543642977
CSF1R	8115076	0.000173391048324875	3.00044622072222
MIR27A	8034696	0.000174793807481009	-2.30290469633333
FANCL	8052382	0.000174878360051409	-1.77714703222222
CTSD	7945666	0.000175830903708177	1.57278544566667
SRGAP2	7909175	0.000180083175863737	2.00176546088889
NOG	8008627	0.000182065510795647	-2.43428025205556
	7893153	0.000183798304751745	1.89842675966667
	7893836	0.000186770597911487	-1.61667329772222
SAMD13	7902617	0.000186770597911487	-1.38874508177778
NABP1	8047161	0.000189867612586138	1.53140972694445
CLEC12A	7953901	0.00019061490556869	3.70896124572222
CRYGD	8058520	0.00019061490556869	-1.42967830122222
ZNF132	8039771	0.000191630225356456	-1.48399778555555
CDC14B	8162610	0.00020464970437646	-1.22227304016667
FAM27B///FAM27C	8161503	0.000205757612407449	-1.63910987222222
OPA3	8037608	0.000206265252259451	0.85482777538889
	7894098	0.000207200012590454	0.914944239999999
TVP23C-CDRT4///CDRT4	8012918	0.000207200012590454	-1.51203278416667
FGF16	8168463	0.000207200012590454	-1.34312742911111
PFDN2	7921786	0.000207200012590454	0.860047912444449
ASAP1	8152867	0.000207200012590454	2.51437884044444
CTSB	8149330	0.000207200012590454	1.99860606938889
RNASE2	7973110	0.000207200012590454	3.5567829595
SP3	8056798	0.000207200012590454	0.907481105888889
C2orf27B///C2orf27A	8045323	0.00020768283087108	-1.45640062466667
PIWIL4	7943240	0.000207696836297886	2.09453480677778
MPPED2	7947274	0.000210704901892097	-2.66123114788889
FAM30A	7977445	0.000212335953027916	-2.55620161477778
SGSH	8019061	0.000218970057728034	1.61749547827778
ABCB1	8140782	0.000219870606130429	-2.67723183372222
BSG	8023955	0.000224518669359441	1.44637750205556
ST6GALNAC4	8164314	0.000224518669359441	1.6624610105
	7896077	0.000225629133686679	-1.19643807877778
MILR1///MILR1	8009243	0.000225629133686679	2.11339342566667
GABBR1	8178298	0.000226117209776441	-2.12202350205556
GABPB2	7905339	0.000228152987871707	1.43849432327778
KIAA1324L	8140709	0.000229108785920268	-2.26127340783333
	7893853	0.000229108785920268	-1.63345542577778
MKI67	7937020	0.000229108785920268	2.74982960461111
BSPRY	8157300	0.000229108785920268	-1.55667842666667
HMGCS1	8111941	0.000229108785920268	-1.71890606994445
PLXNB2	8076998	0.000229108785920268	1.33302122966667
MEG3	7976795	0.000229287323384126	-2.15613275522222
USF1	7921738	0.000229420481034981	1.17643673244445
GFI1	7917697	0.000230934759806363	2.04045550205556
IGKC	8043480	0.00023168922596361	4.03329194444444
FCGR2C///FCGR2B	7906767	0.000232137703727665	3.59021757611111
ZNF592	7985605	0.000232137703727665	1.08521865694444
TMEM9	7923319	0.000234884339507069	-1.21182101005556
CCDC171	8154416	0.000238400374979194	-1.8997661405
LOC727751///GOLGA2P3Y///GOLGA2P7///GOLGA2P2Y///GOLGA2P10	7985431	0.000241039914245346	-3.22493782172222
CD4	7953428	0.000241347362936947	2.34849272422222
	7895890	0.000243739444685759	1.99124891561111
SLC35E2B	7911591	0.00024409065751358	-0.994040734500001
TBC1D1	8094574	0.00024451317653268	0.9520107625
CASP10	8047403	0.00024451317653268	-1.36277405388889
TOP2A	8014974	0.00024451317653268	2.73118628144445
GPR160	8083839	0.000247074955483357	2.006455923
	7896375	0.000247074955483357	1.57675684166667
	7895780	0.000251378824408599	-1.3914991585
PTP4A2	7914489	0.000253484117488954	1.20237250211111
ZNF474	8107591	0.000253484117488954	-1.3474082765
AMT///AMT	8087419	0.000256445104424107	-1.26786705588889
ANLN	8132318	0.000256445104424107	2.30175186833333
MYOF	7935058	0.000258505503726781	3.1709138235
FAM84B	8152812	0.000260423217548143	-1.2616876105
	7896685	0.000266926462275603	1.08374350533334
PP13439	8092162	0.000267763993606803	2.12949352822222
SLC37A3	8143367	0.00027000957849639	-2.20863078338889
	7895632	0.000271915855650103	2.08680710111111
BEX3	8169028	0.00027357047491237	-2.46440806983334
MRC1	7926451	0.000275182672612949	2.92211890077778
MRPS33	8143433	0.000276397837159768	-1.58332885905556
INSIG1	8137526	0.000279137721720694	-1.69070982038889
CFD	8024062	0.000279137721720694	2.97748055883333
OR6A2	7946280	0.000279137721720694	-0.877073559444444
	7895795	0.000281775591033464	-1.09607163283334
SLC29A2	7949619	0.000282333814171169	-1.18231716661111
	8100530	0.000282864194751934	-2.00396887266667
PHOSPHO2-KLHL23///PHOSPHO2///KLHL23	8046186	0.000283549071929888	-1.49626770644444
	8144699	0.000284577206876765	-2.64870414205555
RASSF2	8064790	0.000287676914593803	1.67073387516667
	7894474	0.000287676914593803	-1.78053967783333
AP2A1	8030470	0.000287676914593803	1.43317678661111
	7893091	0.000287676914593803	3.35750454777778
TRIM38	8117321	0.000287676914593803	1.36047518133334
	7903455	0.000289087780446718	-1.03837823194445
	8180240	0.000292421013943613	-1.87882629305556
CD86	8082035	0.000296919419823471	3.31197186872222
ADAM22	8133983	0.000297264634824483	-1.71354529133333
HSPG2	7913450	0.000299476280116803	-1.21210236516667
	8180229	0.000303368757764202	-1.69690921722222
PAG1	8151512	0.000304313969333472	1.6437407755
TCEB3	7898881	0.000304313969333472	1.14722194022222
DENND1A	8164034	0.000304614764775589	1.11044696333333
TTTY10	8177261	0.00030610631648737	-3.11862802972222
ZDHHC15	8173647	0.000315775986629447	-1.87173027388889
WBP2	8018482	0.000316017260891938	1.2423639235
EPHX2	8145532	0.000316017260891938	-1.09703464516667
IFT172	8051135	0.00032951505260811	-1.27376924283333
	8056966	0.000332144022488286	-1.44696765805556
GBF1	7930031	0.000332928779498726	0.891458653444446
AAK1	8052798	0.000347374316496593	1.57323737294445
CHRDL1	8174513	0.000348578740020958	-2.01708026005556
ITGAX	7995128	0.000353176965215697	2.326049011
LINC00893	8175609	0.000355875167967787	-2.26237486038889
IL10RA	7944152	0.000357179242715978	2.77917004722222
PTPRE	7931353	0.000357179242715978	1.92101409811111
